request_id,success,node,latency_ms,error
0,True,Nodo 1 (Capacidad Alta),24.97,
1,True,Nodo 2 (Capacidad Media),33.89,
2,True,Nodo 1 (Capacidad Alta),29.28,
3,True,Nodo 1 (Capacidad Alta),24.37,
4,True,Nodo 1 (Capacidad Alta),30.90,
5,True,Nodo 2 (Capacidad Media),24.07,
6,True,Nodo 3 (Capacidad Baja),34.00,
7,True,Nodo 2 (Capacidad Media),16.69,
8,True,Nodo 3 (Capacidad Baja),19.77,
9,True,Nodo 1 (Capacidad Alta),22.08,
10,True,Nodo 1 (Capacidad Alta),27.54,
11,True,Nodo 1 (Capacidad Alta),22.23,
12,True,Nodo 2 (Capacidad Media),25.79,
13,True,Nodo 2 (Capacidad Media),24.25,
14,True,Nodo 1 (Capacidad Alta),25.12,
15,True,Nodo 1 (Capacidad Alta),31.17,
16,True,Nodo 3 (Capacidad Baja),25.42,
17,True,Nodo 2 (Capacidad Media),23.75,
18,True,Nodo 1 (Capacidad Alta),23.48,
19,True,Nodo 2 (Capacidad Media),24.51,
20,True,Nodo 1 (Capacidad Alta),25.92,
21,True,Nodo 3 (Capacidad Baja),23.25,
22,True,Nodo 2 (Capacidad Media),21.05,
23,True,Nodo 2 (Capacidad Media),23.66,
24,True,Nodo 1 (Capacidad Alta),28.26,
25,True,Nodo 3 (Capacidad Baja),20.66,
26,True,Nodo 1 (Capacidad Alta),21.31,
27,True,Nodo 1 (Capacidad Alta),19.39,
28,True,Nodo 2 (Capacidad Media),20.63,
29,True,Nodo 1 (Capacidad Alta),20.08,
30,True,Nodo 1 (Capacidad Alta),22.66,
31,True,Nodo 2 (Capacidad Media),19.62,
32,True,Nodo 1 (Capacidad Alta),18.84,
33,True,Nodo 3 (Capacidad Baja),27.92,
34,True,Nodo 2 (Capacidad Media),21.90,
35,True,Nodo 2 (Capacidad Media),17.67,
36,True,Nodo 3 (Capacidad Baja),12.96,
37,True,Nodo 1 (Capacidad Alta),16.62,
38,True,Nodo 1 (Capacidad Alta),20.89,
39,True,Nodo 1 (Capacidad Alta),22.37,
40,True,Nodo 1 (Capacidad Alta),24.47,
41,True,Nodo 2 (Capacidad Media),20.19,
42,True,Nodo 1 (Capacidad Alta),27.86,
43,True,Nodo 2 (Capacidad Media),23.11,
44,True,Nodo 3 (Capacidad Baja),22.91,
45,True,Nodo 1 (Capacidad Alta),23.64,
46,True,Nodo 2 (Capacidad Media),28.67,
