timestamp,contenedor,cpu_pct,mem_uso,mem_limite,mem_pct,net_io,block_io
2026-07-21 11:41:08,nginx_balancer,2.91%,3.352MiB,15.33GiB,0.02%,"16.1MB / 16.2MB","0B / 12.3kB"
2026-07-21 11:41:08,app1,53.93%,38.2MiB,15.33GiB,0.24%,"4.39MB / 9.62MB","0B / 172kB"
2026-07-21 11:41:08,app2,33.48%,30.48MiB,15.33GiB,0.19%,"2.96MB / 6.58MB","0B / 172kB"
2026-07-21 11:41:08,app3,15.47%,27.64MiB,15.33GiB,0.18%,"1.51MB / 3.3MB","0B / 172kB"
2026-07-21 11:41:08,db_admin,0.00%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:41:08,mysql_replica,15.76%,444MiB,15.33GiB,2.83%,"4.58MB / 2.98MB","1.04MB / 324MB"
2026-07-21 11:41:08,mysql_principal,23.34%,395.3MiB,15.33GiB,2.52%,"2.74MB / 7.9MB","180kB / 271MB"
2026-07-21 11:41:15,nginx_balancer,3.02%,3.41MiB,15.33GiB,0.02%,"21.7MB / 21.9MB","0B / 12.3kB"
2026-07-21 11:41:15,app1,51.32%,38.31MiB,15.33GiB,0.24%,"5.78MB / 13MB","0B / 172kB"
2026-07-21 11:41:15,app2,40.94%,30.79MiB,15.33GiB,0.20%,"3.8MB / 8.63MB","0B / 172kB"
2026-07-21 11:41:15,app3,15.86%,27.68MiB,15.33GiB,0.18%,"1.96MB / 4.36MB","0B / 172kB"
2026-07-21 11:41:15,db_admin,0.00%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:41:15,mysql_replica,10.62%,443.8MiB,15.33GiB,2.83%,"5.05MB / 3.98MB","1.04MB / 326MB"
2026-07-21 11:41:15,mysql_principal,21.45%,395.3MiB,15.33GiB,2.52%,"3.62MB / 9.46MB","180kB / 273MB"
2026-07-21 11:41:22,nginx_balancer,3.29%,3.48MiB,15.33GiB,0.02%,"26.9MB / 27.2MB","0B / 12.3kB"
2026-07-21 11:41:22,app1,57.38%,38.11MiB,15.33GiB,0.24%,"7.11MB / 16.2MB","0B / 172kB"
2026-07-21 11:41:22,app2,39.06%,30.93MiB,15.33GiB,0.20%,"4.77MB / 10.9MB","0B / 172kB"
2026-07-21 11:41:22,app3,19.26%,27.71MiB,15.33GiB,0.18%,"2.4MB / 5.37MB","0B / 172kB"
2026-07-21 11:41:22,db_admin,0.01%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:41:22,mysql_replica,10.29%,443.8MiB,15.33GiB,2.83%,"5.44MB / 4.82MB","1.04MB / 326MB"
2026-07-21 11:41:22,mysql_principal,29.24%,395.4MiB,15.33GiB,2.52%,"4.44MB / 10.9MB","180kB / 274MB"
2026-07-21 11:41:29,nginx_balancer,2.95%,3.547MiB,15.33GiB,0.02%,"32.6MB / 32.9MB","0B / 12.3kB"
2026-07-21 11:41:29,app1,51.59%,38.3MiB,15.33GiB,0.24%,"8.53MB / 19.6MB","0B / 172kB"
2026-07-21 11:41:29,app2,32.53%,30.74MiB,15.33GiB,0.20%,"5.69MB / 13.1MB","0B / 172kB"
2026-07-21 11:41:29,app3,22.99%,27.68MiB,15.33GiB,0.18%,"2.78MB / 6.31MB","0B / 172kB"
2026-07-21 11:41:29,db_admin,0.01%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:41:29,mysql_replica,11.48%,444.1MiB,15.33GiB,2.83%,"5.88MB / 5.75MB","1.04MB / 326MB"
2026-07-21 11:41:29,mysql_principal,20.00%,395.4MiB,15.33GiB,2.52%,"5.31MB / 12.5MB","180kB / 276MB"
2026-07-21 11:41:36,nginx_balancer,2.83%,3.852MiB,15.33GiB,0.02%,"37.3MB / 37.7MB","0B / 12.3kB"
2026-07-21 11:41:36,app1,49.02%,38.37MiB,15.33GiB,0.24%,"9.9MB / 22.8MB","0B / 172kB"
2026-07-21 11:41:36,app2,42.83%,31.12MiB,15.33GiB,0.20%,"6.63MB / 15.4MB","0B / 172kB"
2026-07-21 11:41:36,app3,22.71%,27.77MiB,15.33GiB,0.18%,"3.36MB / 7.72MB","0B / 172kB"
2026-07-21 11:41:36,db_admin,0.00%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:41:36,mysql_replica,11.41%,444.1MiB,15.33GiB,2.83%,"6.31MB / 6.69MB","1.04MB / 326MB"
2026-07-21 11:41:36,mysql_principal,24.32%,395.4MiB,15.33GiB,2.52%,"6.18MB / 14MB","180kB / 278MB"
2026-07-21 11:41:43,nginx_balancer,3.36%,3.668MiB,15.33GiB,0.02%,"43.7MB / 44.1MB","0B / 12.3kB"
2026-07-21 11:41:43,app1,55.30%,38.44MiB,15.33GiB,0.24%,"11.3MB / 26.2MB","0B / 172kB"
2026-07-21 11:41:43,app2,45.12%,30.83MiB,15.33GiB,0.20%,"7.42MB / 17.2MB","0B / 172kB"
2026-07-21 11:41:43,app3,18.41%,27.76MiB,15.33GiB,0.18%,"3.82MB / 8.78MB","0B / 172kB"
2026-07-21 11:41:43,db_admin,0.00%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:41:43,mysql_replica,9.89%,443.8MiB,15.33GiB,2.83%,"6.73MB / 7.58MB","1.04MB / 327MB"
2026-07-21 11:41:43,mysql_principal,31.09%,395.4MiB,15.33GiB,2.52%,"6.92MB / 15.3MB","180kB / 279MB"
2026-07-21 11:41:51,nginx_balancer,2.78%,4.16MiB,15.33GiB,0.03%,"48.3MB / 48.7MB","0B / 12.3kB"
2026-07-21 11:41:51,app1,45.59%,38.68MiB,15.33GiB,0.25%,"12.5MB / 28.9MB","0B / 172kB"
